,0,0,0,0
0,209.127,356.47,278.43,334.154
1,236.317,1424.05,240.399,1464.97
2,302.138,846.796,330.615,824.574
3,315.014,1921.55,340.389,1881.09
4,331.961,817.474,368.007,805.057
5,410.838,959.779,449.863,948.419
6,457.967,944.511,504.152,952.077
7,483.438,1962.29,514.587,1941.67
8,501.871,699.835,537.93,698.404
9,505.836,1046.85,553.787,1032.24
10,521.799,1943.62,559.807,1935.96
11,540.106,684.283,583.116,690.171
12,558.73,1029.98,610.861,1025.84
13,728.106,2100.56,756.297,2112.96
14,740.133,1083.48,795.806,1059.66
15,764.176,2104.82,790.735,2107.55
16,801.179,913.506,829.588,883.002
17,815.077,919.238,877.594,890.853
18,838.319,887.73,873.925,873.181
19,999.56,336.037,1022.97,311.99
20,1024.59,308.007,1056.93,286.397
21,1047.96,1885.41,1060.19,1912.42
22,1054.19,1557.11,1085.53,1553.8
23,1136.03,2187.57,1186.95,2192.98
24,1176.89,527.972,1213.94,519.6
25,1219.4,523.829,1256.84,535.182
26,1244.3,116.61,1316.29,104.841
27,1249.1,1879.61,1299.55,1866.82
28,1303.19,1865.04,1341.02,1832.22
29,1307.84,882.138,1346.99,896.486
30,1311.63,623.206,1351.21,596.242
31,1353.24,891.125,1391.06,889.873
32,1359.53,600.829,1396.6,569.811
33,1388.22,1544.22,1469.57,1530.7
34,1603.91,140.362,1637.72,131.643
35,1642.03,130.485,1662.95,107.407
36,1661.4,369.839,1679.74,382.705
37,1693.07,981.501,1715.39,957.852
38,1697.24,986.111,1783.62,956.557
39,1718.09,954.885,1752.79,946.686
40,1720.01,988.617,1749.76,981.366
41,1753.16,978.932,1788.73,968.124
42,1757.99,1398.64,1797.07,1398.62
43,1800.68,1391.51,1834.58,1369.92
44,1818.17,474.934,1890.75,459.316
45,1831.92,2132.34,1896.51,2104.3
46,1844.23,638.092,1879.5,607.508
47,1998.59,583.88,2005.49,615.999
48,1995.57,274.182,2017.29,300.127
49,2007.92,585.549,2065.55,578.219
50,2016.37,610.077,2032.84,636.078
51,2015.79,2037.64,2062.6,2057.1
52,2017.78,601.271,2071.64,597.302
53,2030.94,615.55,2073.97,609.55
54,2073.11,569.563,2083.57,607.884
55,2080.08,1359.95,2122.05,1355.06
56,2085.8,1745.61,2133.76,1767.97
57,2113.99,1205.82,2167.59,1204.32
58,2126.18,1346.92,2171.15,1351.24
59,2140.82,1762.63,2187.11,1767.56
60,2163.01,1007.69,2192.72,1003.18
61,2171.01,1200.19,2209.86,1166.34
62,2197.35,998.783,2227.83,1001.88
63,2238.94,104.104,2281.43,100.653
64,2288.82,106.392,2321.9,90.9973
65,2376.23,1827.2,2404.02,1814.16
66,2408.99,1822.0,2440.39,1817.38
67,2506.91,2053.66,2568.7,2041.7
68,2554.34,108.797,2584.95,67.1315
69,2589.61,587.161,2598.12,614.576
70,2601.04,1785.31,2660.74,1794.32
71,2605.01,1838.13,2664.39,1837.09
72,2644.86,1192.68,2685.99,1189.23
73,2669.21,1841.89,2738.59,1853.22
74,2689.1,1199.5,2730.88,1204.44
