,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,209.127,209.146,209.96,210.855,211.792,212.78,213.821,214.913,216.047,217.212,218.398,219.6,220.816,222.047,223.293,224.553,225.819,227.075,228.296,229.465,230.563,231.59,232.55,233.452,234.31,235.138,235.951,236.766,237.596,238.451,239.339,240.262,241.217,242.199,243.204,244.226,245.26,246.303,247.352,248.403,249.455,250.498,251.52,252.512,253.468,254.392,255.296,256.196,257.098,258.007,258.928,259.858,260.8,261.753,262.719,263.694,264.675,265.648,266.607,267.539,268.446,269.324,270.173,270.99,271.769,272.505,273.197,273.85,274.477,275.096,275.723,276.372,277.044,277.716,278.34,278.587,278.43,,,,,,,,,,,,,,,,,,,
1,236.317,233.679,232.572,231.874,231.269,230.613,229.812,228.899,228.024,227.298,226.704,226.156,225.614,225.148,225.01,225.218,225.534,225.86,226.175,226.476,226.767,227.051,227.331,227.612,227.91,228.238,228.607,229.028,229.505,230.044,230.63,231.255,231.917,232.609,233.316,234,234.617,235.141,235.598,236.049,236.621,237.606,240.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,302.138,305.222,307.174,308.347,309.317,310.132,310.832,311.441,312.052,312.805,313.707,314.729,315.799,316.864,317.818,318.579,319.088,319.48,319.888,320.379,320.975,321.679,322.485,323.346,324.201,324.997,325.735,326.442,327.152,327.898,328.693,329.532,330.382,331.187,331.895,332.457,332.839,330.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,315.014,319.029,320.561,321.813,322.934,323.931,324.794,325.523,326.148,326.714,327.251,327.753,328.194,328.549,328.853,329.131,329.405,329.688,329.983,330.293,330.632,331.027,331.514,332.115,332.831,333.635,334.483,335.34,336.193,337.047,337.907,338.775,339.639,340.462,341.203,341.846,342.436,343.029,343.679,344.456,345.43,346.754,348.505,350.13,351.089,351.442,351.324,350.784,349.806,348.47,347.199,346.174,345.244,344.303,343.217,341.799,340.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,331.961,332.595,333.489,334.401,335.355,336.425,337.713,339.208,340.795,342.358,343.841,345.219,346.447,347.464,348.292,349.034,349.79,350.613,351.525,352.547,353.644,354.754,355.803,356.703,357.478,358.171,358.838,359.49,360.104,360.647,361.086,361.409,361.636,361.807,361.978,362.213,362.569,363.092,363.798,364.666,365.659,366.759,368.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,410.838,411.107,411.899,412.739,413.585,414.445,415.419,416.571,417.799,419.012,420.185,421.327,422.467,423.638,424.872,426.176,427.492,428.714,429.778,430.722,431.617,432.496,433.36,434.212,435.068,435.949,436.878,437.877,438.963,440.146,441.405,442.702,443.987,445.28,446.612,447.956,449.206,450.246,451.104,451.837,452.416,452.727,452.528,451.715,450.712,449.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,457.967,456.55,456.06,456.561,457.117,457.669,458.189,458.619,458.981,459.677,461.028,462.621,464.198,465.684,467.063,468.339,469.525,470.636,471.687,472.696,473.681,474.655,475.63,476.61,477.594,478.577,479.555,480.525,481.489,482.452,483.425,484.414,485.423,486.45,487.487,488.525,489.558,490.586,491.616,492.658,493.726,494.833,495.983,497.169,498.361,499.509,500.577,501.584,502.545,503.454,504.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,483.438,488.634,489.458,490.131,490.677,491.124,491.501,491.845,492.184,492.54,492.941,493.416,493.987,494.671,495.469,496.376,497.379,498.456,499.571,500.677,501.722,502.691,503.583,504.427,505.244,506.054,506.866,507.684,508.506,509.334,510.173,511.03,511.914,512.823,513.744,514.63,515.395,515.812,515.616,515.05,514.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,501.871,501.882,502.554,503.357,504.201,505.056,505.906,506.802,507.931,509.294,510.786,512.34,513.906,515.412,516.729,517.842,518.903,519.946,520.971,521.962,522.907,523.797,524.63,525.438,526.249,527.061,527.834,528.507,529.033,529.396,529.605,529.699,529.738,529.802,529.99,530.392,531.04,531.926,533.023,534.359,535.998,537.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,505.836,506.095,507.005,507.936,508.881,509.862,510.91,512.031,513.207,514.413,515.625,516.826,518.001,519.151,520.28,521.4,522.524,523.662,524.817,525.977,527.117,528.207,529.22,530.162,531.062,531.952,532.857,533.793,534.766,535.776,536.817,537.874,538.92,539.937,540.912,541.845,542.754,543.658,544.577,545.526,546.509,547.514,548.525,549.521,550.491,551.427,552.31,553.107,553.794,554.345,554.729,554.881,553.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
